gene,cluster,avg_logFC,pct.1,pct.2,p_val,p_val_adj
Cyp4f15,Astrocytes,8.821946559,0.839,0.011,0,0
Gjb6,Astrocytes,8.274013009,0.978,0.013,0,0
Slc39a12,Astrocytes,8.262584891,0.985,0.066,0,0
Acsbg1,Astrocytes,8.215667773,0.985,0.181,0,0
Mlc1,Astrocytes,8.120770675,0.915,0.017,0,0
Nat8,Astrocytes,8.116807055,0.915,0.071,0,0
Gm35552,Astrocytes,7.829474167,0.563,0.02,0,0
Etnppl,Astrocytes,7.729509998,0.536,0.007,0,0
Gm13325,Astrocytes,7.647506057,0.784,0.008,0,0
Aqp4,Astrocytes,7.611654785,0.887,0.008,0,0
Chrdl1,Astrocytes,7.595710647,0.646,0.007,0,0
Ppp1r3g,Astrocytes,7.541674693,0.749,0.004,0,0
F3,Astrocytes,7.359002149,0.995,0.076,0,0
Gli3,Astrocytes,7.334845246,0.947,0.03,0,0
Pdzph1,Astrocytes,7.321903559,0.543,0.014,0,0
Slc1a3,Astrocytes,7.321559293,1,0.061,0,0
Ntsr2,Astrocytes,7.274234794,0.998,0.158,0,0
Btbd17,Astrocytes,7.205567942,0.915,0.043,0,0
Gm13111,Astrocytes,7.149571169,0.503,0.002,0,0
Gm33002,Astrocytes,6.999792319,0.906,0.039,0,0
Eva1a,Astrocytes,6.919134424,0.782,0.011,0,0
C030018K13Rik,Astrocytes,6.911401385,0.621,0.001,0,0
Igfbp2,Astrocytes,6.827951103,0.79,0.084,0,0
Grin2c,Astrocytes,6.792745717,0.846,0.003,0,0
Plcd4,Astrocytes,6.780932904,0.855,0.247,0,0
Dio2,Astrocytes,6.751245592,0.88,0.008,0,0
Slc7a10,Astrocytes,6.725826092,0.926,0.038,0,0
Gm26512,Astrocytes,6.725648771,0.981,0.037,0,0
Cbs,Astrocytes,6.720235302,0.86,0.021,0,0
Cldn10,Astrocytes,6.714329676,0.991,0.183,0,0
Slc25a18,Astrocytes,6.712072501,0.921,0.057,0,0
Entpd2,Astrocytes,6.648910795,0.656,0.025,0,0
Gja1,Astrocytes,6.635098515,1,0.028,0,0
Cml5,Astrocytes,6.625178306,0.458,0.001,0,0
Fzd2,Astrocytes,6.578317855,0.698,0.003,0,0
Pla2g7,Astrocytes,6.551986744,1,0.087,0,0
2900052N01Rik,Astrocytes,6.50395817,0.662,0.009,0,0
Cml3,Astrocytes,6.375543382,0.602,0.003,0,0
Lcat,Astrocytes,6.324760481,0.89,0.018,0,0
4930515L03Rik,Astrocytes,6.24741968,0.502,0.053,0,0
Slc7a11,Astrocytes,6.224589659,0.836,0.247,0,0
Pdlim4,Astrocytes,6.159988104,0.684,0.013,0,0
Gm973,Astrocytes,6.157879759,0.659,0.098,0,0
Dbx2,Astrocytes,6.141737483,0.93,0.044,0,0
Ppap2b,Astrocytes,6.034391578,0.999,0.113,0,0
Prodh,Astrocytes,6.034099286,0.827,0.059,0,0
AI464131,Astrocytes,6.028638194,0.786,0.021,0,0
Fgfr3,Astrocytes,6.002934497,0.935,0.024,0,0
Gldc,Astrocytes,5.974700181,0.782,0.069,0,0
Gli2,Astrocytes,5.974024066,0.639,0.014,0,0
Adhfe1,Astrocytes,5.938040841,0.689,0.031,0,0
Sox9,Astrocytes,5.883414245,0.99,0.144,0,0
Gm5089,Astrocytes,5.780329172,0.774,0.008,0,0
Atp13a4,Astrocytes,5.770725544,0.825,0.017,0,0
Slc15a2,Astrocytes,5.689301546,0.903,0.121,0,0
Htra1,Astrocytes,5.66801781,0.994,0.199,0,0
Ranbp3l,Astrocytes,5.64729406,0.715,0.074,0,0
Acot11,Astrocytes,5.599361784,0.699,0.111,0,0
Nwd1,Astrocytes,5.570791553,0.909,0.159,0,0
Celrr,Astrocytes,5.56909997,0.53,0.095,0,0
Sdc4,Astrocytes,5.543464397,0.85,0.007,0,0
Gm26843,Astrocytes,5.539339629,0.873,0.324,0,0
Rfx4,Astrocytes,5.526808614,0.772,0.055,0,0
Tst,Astrocytes,5.511132307,0.844,0.034,0,0
Rorb,Astrocytes,5.480673616,0.991,0.189,0,0
Aox1,Astrocytes,5.477851207,0.504,0.008,0,0
Mt2,Astrocytes,5.455135732,1,0.12,0,0
Id4,Astrocytes,5.44244991,0.898,0.11,0,0
Aldoc,Astrocytes,5.44034479,0.999,0.436,0,0
Mertk,Astrocytes,5.395427858,0.988,0.11,0,0
Hsd11b1,Astrocytes,5.373256587,0.75,0.071,0,0
Ppp1r3c,Astrocytes,5.367132115,0.793,0.072,0,0
Gpr37l1,Astrocytes,5.293387942,1,0.039,0,0
Cth,Astrocytes,5.27650044,0.527,0.028,0,0
Gpc5,Astrocytes,5.256379811,0.991,0.475,0,0
Pax6,Astrocytes,5.243671585,0.803,0.105,0,0
Slc4a4,Astrocytes,5.243253371,0.993,0.289,0,0
Tlcd1,Astrocytes,5.225670269,0.902,0.037,0,0
Apoe,Astrocytes,5.142294876,1,0.209,0,0
Gm36292,Astrocytes,5.075441382,0.663,0.061,0,0
Slc9a3r1,Astrocytes,5.073457594,0.869,0.023,0,0
Ston2,Astrocytes,5.064828346,0.749,0.263,0,0
AW047730,Astrocytes,5.046772589,0.802,0.181,0,0
Luzp2,Astrocytes,5.044059946,0.986,0.416,0,0
Fam107a,Astrocytes,5.043830239,0.968,0.042,0,0
Arhgef26,Astrocytes,5.012315498,0.908,0.103,0,0
LOC105245076,Astrocytes,5.001432624,0.419,0.006,0,0
Scara3,Astrocytes,4.965508607,0.696,0.095,0,0
Pxmp2,Astrocytes,4.965251391,0.479,0.021,0,0
Mir6390,Astrocytes,4.95084458,0.577,0.009,0,0
Hapln1,Astrocytes,4.93999748,0.833,0.209,0,0
Emx2os,Astrocytes,4.928155138,0.497,0.036,0,0
A330033J07Rik,Astrocytes,4.868003509,0.986,0.244,0,0
Gareml,Astrocytes,4.855084365,0.471,0.014,0,0
Bmpr1b,Astrocytes,4.833466936,0.9,0.212,0,0
LOC105244543,Astrocytes,4.796566775,0.533,0.022,0,0
Thrsp,Astrocytes,4.774370149,0.761,0.124,0,0
Pnpla7,Astrocytes,4.732997031,0.761,0.189,0,0
Plekho2,Astrocytes,4.718374976,0.509,0.026,0,0
Slc27a1,Astrocytes,4.715912452,0.996,0.495,0,0
1700071M16Rik,Astrocytes,4.703845007,0.461,0.004,0,0
Slc7a2,Astrocytes,4.702767872,0.607,0.017,0,0
1700084C01Rik,Astrocytes,4.681067918,0.555,0.088,0,0
Paqr8,Astrocytes,4.679929752,0.959,0.402,0,0
Pbxip1,Astrocytes,4.676805125,0.773,0.062,0,0
Frmpd1,Astrocytes,4.676050353,0.593,0.051,0,0
Aldh1l1,Astrocytes,4.656731837,0.74,0.122,0,0
Ezr,Astrocytes,4.651848507,0.816,0.097,0,0
Oaf,Astrocytes,4.651110639,0.798,0.02,0,0
Timp4,Astrocytes,4.649519612,0.881,0.094,0,0
Ndrg2,Astrocytes,4.619056587,0.999,0.492,0,0
LOC105244249,Astrocytes,4.588191617,0.813,0.266,0,0
Sall3,Astrocytes,4.575942135,0.589,0.011,0,0
Sfxn5,Astrocytes,4.561034028,0.991,0.517,0,0
Arhgef19,Astrocytes,4.522286155,0.62,0.018,0,0
Gpam,Astrocytes,4.519796264,0.844,0.272,0,0
9430041J12Rik,Astrocytes,4.514547642,0.647,0.174,0,0
Gstm1,Astrocytes,4.513327725,0.998,0.259,0,0
Slc6a11,Astrocytes,4.497346784,0.917,0.273,0,0
Appl2,Astrocytes,4.469434796,0.979,0.25,0,0
Mfge8,Astrocytes,4.461087998,0.996,0.079,0,0
Acss1,Astrocytes,4.457691517,0.813,0.109,0,0
Il18,Astrocytes,4.456922225,0.973,0.314,0,0
Prr5,Astrocytes,4.451284698,0.602,0.05,0,0
E130114P18Rik,Astrocytes,4.446814269,0.501,0.034,0,0
Psd2,Astrocytes,4.43487557,0.677,0.161,0,0
Phka1,Astrocytes,4.417438718,0.867,0.131,0,0
Cml1,Astrocytes,4.40538698,0.958,0.404,0,0
Fam20a,Astrocytes,4.381680545,0.907,0.183,0,0
Tlr3,Astrocytes,4.325758932,0.607,0.011,0,0
Prex2,Astrocytes,4.315728652,0.984,0.228,0,0
Gabrg1,Astrocytes,4.311475963,0.8,0.111,0,0
Cyp2j9,Astrocytes,4.284440968,0.762,0.03,0,0
Kcnj16,Astrocytes,4.260319514,0.547,0.025,0,0
Naaa,Astrocytes,4.256555955,0.649,0.207,0,0
Itih3,Astrocytes,4.203572874,0.537,0.019,0,0
Car8,Astrocytes,4.192421764,0.49,0.04,0,0
Tril,Astrocytes,4.191966901,0.889,0.038,0,0
Prdm16,Astrocytes,4.161473055,0.934,0.079,0,0
Sema4b,Astrocytes,4.13846285,0.781,0.192,0,0
Fam228b,Astrocytes,4.126351479,0.864,0.373,0,0
S1pr1,Astrocytes,4.122426556,0.998,0.055,0,0
Fam181b,Astrocytes,4.098595055,0.734,0.058,0,0
Egfr,Astrocytes,4.084182158,0.595,0.046,0,0
Gsap,Astrocytes,4.074466964,0.629,0.098,0,0
Greb1,Astrocytes,4.050052252,0.708,0.056,0,0
Gramd3,Astrocytes,4.047081287,0.883,0.109,0,0
Fgd6,Astrocytes,4.026738244,0.737,0.075,0,0
St3gal4,Astrocytes,4.016988875,0.872,0.147,0,0
Bcan,Astrocytes,4.006089495,0.996,0.091,0,0
Gas1,Astrocytes,4.002776812,0.51,0.028,0,0
LOC330143,Astrocytes,4.000614495,0.76,0.249,0,0
Rbp1,Astrocytes,3.997372801,0.561,0.029,0,0
Adora2b,Astrocytes,3.990378161,0.456,0.014,0,0
Prrx1,Astrocytes,3.953067172,0.513,0.036,0,0
Agl,Astrocytes,3.937769206,0.771,0.279,0,0
Daam2,Astrocytes,3.921718208,0.94,0.076,0,0
Rmst,Astrocytes,3.917876997,0.928,0.308,0,0
Hopx,Astrocytes,3.910276786,0.826,0.24,0,0
Rgma,Astrocytes,3.885571821,0.729,0.145,0,0
Cdh19,Astrocytes,3.876484708,0.712,0.044,0,0
Sox2,Astrocytes,3.859098357,0.843,0.097,0,0
Hepacam,Astrocytes,3.79772206,0.984,0.083,0,0
Trps1,Astrocytes,3.797566576,0.989,0.554,0,0
Srebf1,Astrocytes,3.777954731,0.935,0.209,0,0
Clmn,Astrocytes,3.776842224,0.892,0.194,0,0
Lfng,Astrocytes,3.744614405,0.742,0.02,0,0
Npas3,Astrocytes,3.722795612,0.999,0.315,0,0
Megf10,Astrocytes,3.716890639,0.666,0.032,0,0
Zfp521,Astrocytes,3.705971076,0.591,0.055,0,0
Crot,Astrocytes,3.698714709,0.798,0.298,0,0
Abhd3,Astrocytes,3.691623387,0.897,0.474,0,0
Vcam1,Astrocytes,3.679063672,0.931,0.084,0,0
Tnfaip8,Astrocytes,3.665971272,0.62,0.096,0,0
Pygb,Astrocytes,3.639145871,0.862,0.438,0,0
Vegfa,Astrocytes,3.636048711,0.957,0.543,0,0
Dpf3,Astrocytes,3.593603287,0.773,0.17,0,0
Atp1a2,Astrocytes,3.579522269,1,0.151,0,0
Zfp36l2,Astrocytes,3.53469101,0.783,0.085,0,0
Nfia,Astrocytes,3.488933164,1,0.584,0,0
Cep85l,Astrocytes,3.47699627,0.796,0.377,0,0
Irak2,Astrocytes,3.469179415,0.79,0.357,0,0
Fabp7,Astrocytes,3.445050288,0.833,0.086,0,0
LOC105246959,Astrocytes,3.443333128,0.552,0.069,0,0
Igsf11,Astrocytes,3.427543154,0.817,0.171,0,0
Myo6,Astrocytes,3.415594235,0.954,0.377,0,0
Nhsl1,Astrocytes,3.410060976,0.873,0.32,0,0
Nrarp,Astrocytes,3.38394684,0.55,0.051,0,0
Ptprz1,Astrocytes,3.37519936,0.999,0.22,0,0
Prelp,Astrocytes,3.368092184,0.496,0.016,0,0
Agmo,Astrocytes,3.353835162,0.564,0.11,0,0
Rftn2,Astrocytes,3.335272437,0.674,0.084,0,0
Eya1,Astrocytes,3.311269211,0.615,0.068,0,0
Smpd2,Astrocytes,3.302016082,0.671,0.262,0,0
Lama2,Astrocytes,3.285255621,0.923,0.191,0,0
Metrn,Astrocytes,3.246435827,0.629,0.049,0,0
Zbtb20,Astrocytes,3.23443335,0.999,0.545,0,0
Prkd1,Astrocytes,3.230061668,0.839,0.375,0,0
Cdh20,Astrocytes,3.20761241,0.831,0.271,0,0
Mdk,Astrocytes,3.194063783,0.529,0.054,0,0
Atp1b2,Astrocytes,3.189090477,0.998,0.574,0,0
Cyp2d22,Astrocytes,3.187184452,0.695,0.03,0,0
Elovl5,Astrocytes,3.180055861,0.895,0.426,0,0
Nckap5,Astrocytes,3.177291468,0.876,0.441,0,0
Tcf7l2,Astrocytes,3.156622574,0.908,0.106,0,0
Ednrb,Astrocytes,3.146597206,0.821,0.036,0,0
Phgdh,Astrocytes,3.145764753,0.824,0.08,0,0
Rapgef3,Astrocytes,3.106527852,0.687,0.106,0,0
Eps8,Astrocytes,3.106270402,0.817,0.152,0,0
Tubb2b,Astrocytes,3.086935727,0.862,0.395,0,0
LOC102638773,Astrocytes,3.032472551,0.593,0.041,0,0
Pmp22,Astrocytes,2.998227421,0.654,0.086,0,0
Fgfr2,Astrocytes,2.954400401,0.8,0.101,0,0
Maml2,Astrocytes,2.945713846,0.927,0.263,0,0
Cd63,Astrocytes,2.934795662,0.994,0.261,0,0
Kirrel3,Astrocytes,2.930932584,0.909,0.444,0,0
Sash1,Astrocytes,2.92684374,0.946,0.521,0,0
Gstm2-ps1,Astrocytes,2.923285203,0.944,0.062,0,0
Slc38a3,Astrocytes,2.915769506,0.926,0.094,0,0
Kcnj10,Astrocytes,2.860026707,0.715,0.05,0,0
S100b,Astrocytes,2.820791738,0.936,0.15,0,0
Lpp,Astrocytes,2.780249272,0.86,0.23,0,0
Abca1,Astrocytes,2.773360424,0.657,0.082,0,0
Slc6a1,Astrocytes,2.76775777,0.995,0.196,0,0
Tsc22d4,Astrocytes,2.708217385,0.98,0.188,0,0
Tmem176a,Astrocytes,2.696481157,0.62,0.032,0,0
Dock1,Astrocytes,2.695712354,0.812,0.19,0,0
Kank1,Astrocytes,2.644451659,0.834,0.122,0,0
Pon2,Astrocytes,2.580281487,0.733,0.066,0,0
Scrg1,Astrocytes,2.572346368,0.834,0.039,0,0
Vcl,Astrocytes,2.550787469,0.884,0.473,0,0
Tmem176b,Astrocytes,2.523785557,0.77,0.055,0,0
Pard3b,Astrocytes,2.513068952,0.785,0.188,0,0
Slco1c1,Astrocytes,2.507360021,0.987,0.059,0,0
Tmem100,Astrocytes,2.495777017,0.846,0.031,0,0
Gulo,Astrocytes,2.463954125,0.947,0.482,0,0
Sox6,Astrocytes,2.423082777,0.927,0.13,0,0
Myo10,Astrocytes,2.41211812,0.901,0.357,0,0
S100a1,Astrocytes,2.408684211,0.979,0.191,0,0
Cnn3,Astrocytes,2.392194396,0.88,0.324,0,0
Hist1h2bc,Astrocytes,2.303402072,0.927,0.484,0,0
Axl,Astrocytes,2.302159975,0.616,0.026,0,0
Plekhg1,Astrocytes,2.280807058,0.684,0.099,0,0
Pdlim5,Astrocytes,2.254714451,0.772,0.102,0,0
Cd63-ps,Astrocytes,2.221636887,0.937,0.123,0,0
Csrp1,Astrocytes,2.064042307,0.96,0.292,0,0
Serpine2,Astrocytes,2.000395756,0.967,0.465,0,0
Cxcl14,Astrocytes,1.983229917,0.99,0.133,0,0
S100a16,Astrocytes,1.950775803,0.939,0.177,0,0
Gm12222,Astrocytes,1.818681771,0.848,0.187,0,0
Gm7908,Astrocytes,1.77087313,0.854,0.274,0,0
Zfp36l1,Astrocytes,1.751256806,0.839,0.07,0,0
Rgcc,Astrocytes,1.749887489,0.898,0.177,0,0
Timp3,Astrocytes,1.747567703,0.786,0.112,0,0
Cmtm5,Astrocytes,1.720568532,0.959,0.122,0,0
Gm7901,Astrocytes,1.67257956,0.572,0.036,0,0
5430419D17Rik,Astrocytes,1.658161385,0.743,0.082,0,0
S100a13,Astrocytes,1.654335463,0.826,0.126,0,0
Glns-ps1,Astrocytes,1.586203236,0.746,0.07,0,0
Mfsd2a,Astrocytes,1.537792971,0.746,0.075,0,0
Gng5,Astrocytes,1.536425333,0.933,0.262,0,0
Tmem240,Astrocytes,1.375893716,0.15,0.74,0,0
Sepp1,Astrocytes,1.301650952,0.857,0.068,0,0
Gm4949,Astrocytes,1.290489445,0.742,0.065,0,0
Eef1e1,Astrocytes,-1.000545838,0.232,0.906,0,0
Tbcb,Astrocytes,-1.003057402,0.562,0.966,0,0
Hypk,Astrocytes,-1.005509238,0.55,0.975,0,0
2700060E02Rik,Astrocytes,-1.005967751,0.429,0.959,0,0
Dnajc30,Astrocytes,-1.006115917,0.221,0.901,0,0
Gprasp2,Astrocytes,-1.00617339,0.167,0.827,0,0
Stx6,Astrocytes,-1.006737121,0.232,0.877,0,0
Rpl12,Astrocytes,-1.010947773,0.379,0.953,0,0
Ube2d1,Astrocytes,-1.011067971,0.252,0.925,0,0
Smap2,Astrocytes,-1.012116273,0.225,0.906,0,0
Hspd1,Astrocytes,-1.012549331,0.411,0.944,0,0
Hnrnpul2,Astrocytes,-1.013197596,0.194,0.861,0,0
Gmfb,Astrocytes,-1.014002034,0.288,0.898,0,0
Cct5,Astrocytes,-1.014360357,0.505,0.965,0,0
Kctd2,Astrocytes,-1.015847474,0.195,0.857,0,0
Cops7a,Astrocytes,-1.017071301,0.418,0.94,0,0
Sdcbp,Astrocytes,-1.022042069,0.49,0.961,0,0
Pcna,Astrocytes,-1.028061742,0.223,0.919,0,0
Fam216a,Astrocytes,-1.030320648,0.288,0.907,0,0
Pgam5,Astrocytes,-1.033779338,0.297,0.882,0,0
Ppp1r7,Astrocytes,-1.035326346,0.209,0.9,0,0
Mrpl20,Astrocytes,-1.036618566,0.551,0.97,0,0
Dctn1,Astrocytes,-1.037852561,0.269,0.903,0,0
Ccdc32,Astrocytes,-1.039752477,0.218,0.888,0,0
Ap3b2,Astrocytes,-1.039904443,0.161,0.85,0,0
Auh,Astrocytes,-1.04033401,0.346,0.934,0,0
Rps26,Astrocytes,-1.041350149,0.489,0.976,0,0
Acyp1,Astrocytes,-1.042866205,0.273,0.911,0,0
Rps27a,Astrocytes,-1.043665698,0.56,0.981,0,0
Supt4a,Astrocytes,-1.045077864,0.43,0.954,0,0
Znhit3,Astrocytes,-1.045099446,0.245,0.914,0,0
Fam69a,Astrocytes,-1.046052814,0.378,0.866,0,0
Mtpn,Astrocytes,-1.046209966,0.414,0.942,0,0
Fam69b,Astrocytes,-1.050755989,0.345,0.906,0,0
F8a,Astrocytes,-1.054272672,0.127,0.819,0,0
Banf1,Astrocytes,-1.054360852,0.478,0.972,0,0
Vma21,Astrocytes,-1.054693488,0.277,0.912,0,0
Nudt18,Astrocytes,-1.055694759,0.127,0.835,0,0
Rraga,Astrocytes,-1.058667321,0.4,0.943,0,0
Itpa,Astrocytes,-1.058910584,0.294,0.918,0,0
Eif4h,Astrocytes,-1.059904119,0.496,0.966,0,0
Hmox2,Astrocytes,-1.063072934,0.46,0.947,0,0
Ttc33,Astrocytes,-1.063776023,0.194,0.903,0,0
Enpp5,Astrocytes,-1.064911783,0.456,0.937,0,0
Fam174a,Astrocytes,-1.067768018,0.258,0.944,0,0
Efr3a,Astrocytes,-1.068076448,0.426,0.934,0,0
Mkl2,Astrocytes,-1.0689416,0.45,0.942,0,0
Sfxn3,Astrocytes,-1.073758808,0.219,0.901,0,0
N6amt2,Astrocytes,-1.073986911,0.368,0.917,0,0
Snrpd2,Astrocytes,-1.077269673,0.451,0.972,0,0
Stard3nl,Astrocytes,-1.077534929,0.312,0.944,0,0
Ubl4,Astrocytes,-1.077778713,0.137,0.825,0,0
Ddx1,Astrocytes,-1.078243086,0.417,0.943,0,0
Agap3,Astrocytes,-1.078908352,0.247,0.891,0,0
Drg1,Astrocytes,-1.081097577,0.379,0.945,0,0
Vamp7-ps,Astrocytes,-1.082275951,0.189,0.879,0,0
Serbp1,Astrocytes,-1.083037237,0.567,0.971,0,0
Fam49a,Astrocytes,-1.083040445,0.405,0.907,0,0
Kras,Astrocytes,-1.086240587,0.371,0.95,0,0
Myh10,Astrocytes,-1.089553634,0.201,0.837,0,0
Hnrnph2,Astrocytes,-1.090980701,0.445,0.953,0,0
Pfdn4,Astrocytes,-1.091540062,0.267,0.93,0,0
Serf1,Astrocytes,-1.091582436,0.233,0.904,0,0
Mcf2l,Astrocytes,-1.094022173,0.288,0.861,0,0
Rbbp7,Astrocytes,-1.094111739,0.533,0.956,0,0
Pcbp3,Astrocytes,-1.09618677,0.199,0.859,0,0
Tceal1,Astrocytes,-1.097465263,0.191,0.892,0,0
Esd,Astrocytes,-1.098214623,0.44,0.951,0,0
2210013O21Rik,Astrocytes,-1.098599288,0.377,0.933,0,0
Acot9,Astrocytes,-1.099944167,0.196,0.832,0,0
Zrsr2,Astrocytes,-1.103242455,0.288,0.905,0,0
Aig1,Astrocytes,-1.104086847,0.424,0.949,0,0
Eml2,Astrocytes,-1.105185358,0.126,0.77,0,0
Bod1,Astrocytes,-1.106266569,0.298,0.928,0,0
Blvra,Astrocytes,-1.110962778,0.177,0.861,0,0
Hnrnpa1,Astrocytes,-1.111235639,0.279,0.928,0,0
Exoc6,Astrocytes,-1.111315742,0.317,0.842,0,0
Hars,Astrocytes,-1.117538062,0.263,0.897,0,0
Gm32853,Astrocytes,-1.117826717,0.333,0.94,0,0
Ddx24,Astrocytes,-1.120396045,0.503,0.951,0,0
Prkag2,Astrocytes,-1.120465956,0.315,0.88,0,0
Stx12,Astrocytes,-1.122105886,0.354,0.943,0,0
Ppp3cb,Astrocytes,-1.124127814,0.371,0.94,0,0
Bnip3l,Astrocytes,-1.125361449,0.549,0.983,0,0
Bzw1,Astrocytes,-1.127202345,0.445,0.95,0,0
Trappc6b,Astrocytes,-1.1276743,0.527,0.961,0,0
Rplp0,Astrocytes,-1.127822155,0.562,0.985,0,0
Ccdc25,Astrocytes,-1.129513644,0.277,0.891,0,0
Rpl29,Astrocytes,-1.130291255,0.474,0.968,0,0
Rufy3,Astrocytes,-1.134195058,0.527,0.939,0,0
Actr1b,Astrocytes,-1.135152358,0.338,0.929,0,0
Abhd8,Astrocytes,-1.137036561,0.296,0.893,0,0
Yeats4,Astrocytes,-1.13930004,0.162,0.839,0,0
Ankrd46,Astrocytes,-1.141523914,0.327,0.931,0,0
Dos,Astrocytes,-1.143130091,0.202,0.871,0,0
Abhd17a,Astrocytes,-1.143914741,0.305,0.927,0,0
Cox7a2l,Astrocytes,-1.144601788,0.38,0.949,0,0
Dpf1,Astrocytes,-1.149430596,0.1,0.751,0,0
BC029722,Astrocytes,-1.149600201,0.313,0.913,0,0
Nbea,Astrocytes,-1.150090073,0.496,0.96,0,0
Ehd3,Astrocytes,-1.151040233,0.1,0.755,0,0
1110004E09Rik,Astrocytes,-1.153645398,0.173,0.886,0,0
Spcs3,Astrocytes,-1.154671051,0.29,0.908,0,0
Emc10,Astrocytes,-1.156442691,0.541,0.962,0,0
Cinp,Astrocytes,-1.16006671,0.287,0.891,0,0
Wdr54,Astrocytes,-1.160800902,0.059,0.714,0,0
Hmga1,Astrocytes,-1.160822427,0.074,0.765,0,0
Prkce,Astrocytes,-1.161066254,0.406,0.94,0,0
Rab11a,Astrocytes,-1.162697716,0.542,0.976,0,0
Spryd7,Astrocytes,-1.170565145,0.239,0.906,0,0
Fkbp8,Astrocytes,-1.173390765,0.535,0.963,0,0
Rpl36al,Astrocytes,-1.175090254,0.565,0.976,0,0
Trim2,Astrocytes,-1.177487355,0.379,0.939,0,0
Ppp1cb,Astrocytes,-1.177497298,0.503,0.968,0,0
Fgfr1op2,Astrocytes,-1.180331512,0.361,0.934,0,0
Dctn2,Astrocytes,-1.180342498,0.536,0.96,0,0
Tomm70a,Astrocytes,-1.181381102,0.236,0.907,0,0
Prkaca,Astrocytes,-1.181489912,0.386,0.92,0,0
Bbs4,Astrocytes,-1.186028292,0.192,0.821,0,0
Znhit1,Astrocytes,-1.187382038,0.387,0.95,0,0
Polr2m,Astrocytes,-1.189013345,0.36,0.934,0,0
Extl1,Astrocytes,-1.189933554,0.116,0.752,0,0
Txnl4a,Astrocytes,-1.191850514,0.568,0.969,0,0
Mcts1,Astrocytes,-1.19524564,0.463,0.949,0,0
Dync1li1,Astrocytes,-1.197143593,0.282,0.882,0,0
Rab3ip,Astrocytes,-1.199029457,0.118,0.799,0,0
Scn8a,Astrocytes,-1.199059901,0.419,0.923,0,0
Cetn2,Astrocytes,-1.200623739,0.235,0.922,0,0
Pkp4,Astrocytes,-1.203483402,0.205,0.836,0,0
G3bp2,Astrocytes,-1.205227128,0.527,0.955,0,0
Sfr1,Astrocytes,-1.205308903,0.408,0.96,0,0
Nt5c3,Astrocytes,-1.207099902,0.33,0.929,0,0
Cops6,Astrocytes,-1.208157562,0.537,0.962,0,0
Gm14680,Astrocytes,-1.210526261,0.085,0.72,0,0
Tssc1,Astrocytes,-1.212376434,0.209,0.871,0,0
Tmem41a,Astrocytes,-1.215153048,0.079,0.711,0,0
Rpl32,Astrocytes,-1.216428452,0.558,0.979,0,0
Chmp3,Astrocytes,-1.220596318,0.377,0.956,0,0
Oaz2,Astrocytes,-1.2266124,0.443,0.955,0,0
Polr2e,Astrocytes,-1.228976087,0.323,0.944,0,0
Ube2v1,Astrocytes,-1.231765142,0.428,0.939,0,0
2610002M06Rik,Astrocytes,-1.23271353,0.077,0.753,0,0
Cbx6,Astrocytes,-1.233173673,0.204,0.899,0,0
Ap2a1,Astrocytes,-1.236847692,0.265,0.874,0,0
Pithd1,Astrocytes,-1.240171649,0.481,0.936,0,0
Ube2w,Astrocytes,-1.240258165,0.487,0.953,0,0
Rpusd1,Astrocytes,-1.240523468,0.104,0.821,0,0
Ldlrad4,Astrocytes,-1.240592466,0.288,0.871,0,0
Pde4a,Astrocytes,-1.240700327,0.175,0.839,0,0
Zmynd19,Astrocytes,-1.242446954,0.129,0.744,0,0
Cct6a,Astrocytes,-1.245684163,0.529,0.967,0,0
Dgkz,Astrocytes,-1.245764168,0.212,0.861,0,0
Iqcb1,Astrocytes,-1.246420913,0.192,0.831,0,0
Gtf2h5,Astrocytes,-1.247241592,0.508,0.963,0,0
1700025G04Rik,Astrocytes,-1.247869891,0.258,0.839,0,0
Pop5,Astrocytes,-1.250839634,0.307,0.949,0,0
Uap1,Astrocytes,-1.251348135,0.216,0.872,0,0
Lrrtm2,Astrocytes,-1.253074121,0.131,0.788,0,0
Ruvbl1,Astrocytes,-1.254568949,0.136,0.873,0,0
Gnl1,Astrocytes,-1.268861681,0.194,0.847,0,0
Fbxo31,Astrocytes,-1.272104629,0.267,0.844,0,0
Klf13,Astrocytes,-1.273524423,0.433,0.964,0,0
Tmem35,Astrocytes,-1.274663007,0.156,0.818,0,0
Pkia,Astrocytes,-1.275085937,0.284,0.899,0,0
Arpc5l,Astrocytes,-1.276349578,0.525,0.95,0,0
Unc13a,Astrocytes,-1.276835079,0.118,0.848,0,0
Guk1,Astrocytes,-1.282035845,0.418,0.945,0,0
Zc3h15,Astrocytes,-1.285699551,0.517,0.957,0,0
Lonrf2,Astrocytes,-1.286042042,0.139,0.889,0,0
Eid2,Astrocytes,-1.289524247,0.222,0.905,0,0
Cmpk1,Astrocytes,-1.29082395,0.411,0.945,0,0
Klhdc2,Astrocytes,-1.292374153,0.42,0.945,0,0
Ppp1r11,Astrocytes,-1.306611878,0.459,0.963,0,0
Cuedc2,Astrocytes,-1.309865906,0.527,0.956,0,0
Naa20,Astrocytes,-1.310650772,0.561,0.962,0,0
Aff3,Astrocytes,-1.313052289,0.205,0.827,0,0
Gm10819,Astrocytes,-1.315963846,0.353,0.87,0,0
Sac3d1,Astrocytes,-1.317051494,0.095,0.823,0,0
Dynlt3,Astrocytes,-1.323985778,0.447,0.949,0,0
